place,url,scrape_time,lat,long,day_of_week,hour_of_day,popularity_percent_normal,popularity_percent_current
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Monday,6,,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Monday,7,52,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Monday,8,75,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Monday,9,38,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Monday,10,20,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Monday,11,38,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Monday,12,50,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Monday,13,31,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Monday,14,13,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Monday,15,20,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Monday,16,45,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Monday,17,79,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Monday,18,93,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Monday,19,72,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Monday,20,,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Monday,21,,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Monday,22,,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Monday,23,,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Tuesday,6,,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Tuesday,7,52,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Tuesday,8,72,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Tuesday,9,29,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Tuesday,10,29,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Tuesday,11,47,
ChIJRdQI-WgLkEcRmzFe5a0pjkY,ChIJRdQI-WgLkEcRmzFe5a0pjkY,20200404_200509,47.3798176,8.5369492,Tuesday,12,50,
