place,url,scrape_time,lat,long,day_of_week,hour_of_day,popularity_percent_normal,popularity_percent_current
ChIJjx7_F9YLkEcRPih1Q_-rqP4,ChIJjx7_F9YLkEcRPih1Q_-rqP4,20200404_200509,47.3784015,8.535615,Sunday,6,,
ChIJjx7_F9YLkEcRPih1Q_-rqP4,ChIJjx7_F9YLkEcRPih1Q_-rqP4,20200404_200509,47.3784015,8.535615,Sunday,7,,
ChIJjx7_F9YLkEcRPih1Q_-rqP4,ChIJjx7_F9YLkEcRPih1Q_-rqP4,20200404_200509,47.3784015,8.535615,Sunday,8,4,
ChIJjx7_F9YLkEcRPih1Q_-rqP4,ChIJjx7_F9YLkEcRPih1Q_-rqP4,20200404_200509,47.3784015,8.535615,Sunday,9,14,
ChIJjx7_F9YLkEcRPih1Q_-rqP4,ChIJjx7_F9YLkEcRPih1Q_-rqP4,20200404_200509,47.3784015,8.535615,Sunday,10,25,
ChIJjx7_F9YLkEcRPih1Q_-rqP4,ChIJjx7_F9YLkEcRPih1Q_-rqP4,20200404_200509,47.3784015,8.535615,Sunday,11,36,
ChIJjx7_F9YLkEcRPih1Q_-rqP4,ChIJjx7_F9YLkEcRPih1Q_-rqP4,20200404_200509,47.3784015,8.535615,Sunday,12,43,
ChIJjx7_F9YLkEcRPih1Q_-rqP4,ChIJjx7_F9YLkEcRPih1Q_-rqP4,20200404_200509,47.3784015,8.535615,Sunday,13,49,
ChIJjx7_F9YLkEcRPih1Q_-rqP4,ChIJjx7_F9YLkEcRPih1Q_-rqP4,20200404_200509,47.3784015,8.535615,Sunday,14,58,
ChIJjx7_F9YLkEcRPih1Q_-rqP4,ChIJjx7_F9YLkEcRPih1Q_-rqP4,20200404_200509,47.3784015,8.535615,Sunday,15,74,
ChIJjx7_F9YLkEcRPih1Q_-rqP4,ChIJjx7_F9YLkEcRPih1Q_-rqP4,20200404_200509,47.3784015,8.535615,Sunday,16,90,
ChIJjx7_F9YLkEcRPih1Q_-rqP4,ChIJjx7_F9YLkEcRPih1Q_-rqP4,20200404_200509,47.3784015,8.535615,Sunday,17,94,
ChIJjx7_F9YLkEcRPih1Q_-rqP4,ChIJjx7_F9YLkEcRPih1Q_-rqP4,20200404_200509,47.3784015,8.535615,Sunday,18,82,
ChIJjx7_F9YLkEcRPih1Q_-rqP4,ChIJjx7_F9YLkEcRPih1Q_-rqP4,20200404_200509,47.3784015,8.535615,Sunday,19,57,
ChIJjx7_F9YLkEcRPih1Q_-rqP4,ChIJjx7_F9YLkEcRPih1Q_-rqP4,20200404_200509,47.3784015,8.535615,Sunday,20,,
ChIJjx7_F9YLkEcRPih1Q_-rqP4,ChIJjx7_F9YLkEcRPih1Q_-rqP4,20200404_200509,47.3784015,8.535615,Sunday,21,,
ChIJjx7_F9YLkEcRPih1Q_-rqP4,ChIJjx7_F9YLkEcRPih1Q_-rqP4,20200404_200509,47.3784015,8.535615,Sunday,22,,
